tag,scenario,optimizer,lr,variant_id,d_coef,d0,growth_rate,scheduler,desc,status,n_ep,val_total_best,best_ep,val_total_last,val_data_at_best,spike_rate_avg,gn_explosion_pct,lr_eff_start,lr_eff_max,lr_eff_end
R24F_full_lr0.1_V03,full,prodigy,0.1,V03,0.1,1e-06,inf,none,Brake medio (d_coef=0.1),OK,10,1.1084996090924486,10,1.1084996090924486,0.912171519975713,0.05981519692280187,0.0,1e-07,1e-07,1e-07
R24F_full_lr0.1_V04,full,prodigy,0.1,V04,0.01,1e-06,inf,none,Brake forte (d_coef=0.01),OK,10,1.1084996090924486,10,1.1084996090924486,0.912171519975713,0.05981519692280187,0.0,1e-07,1e-07,1e-07
R24F_full_lr0.1_V05,full,prodigy,0.1,V05,1.0,1e-06,1.02,none,Growth_rate cap smooth (paper 1.02),OK,10,0.8956281779769887,10,0.8956281779769887,0.7464968053267357,0.05982981521556983,0.0,1e-07,0.0001048039976117,0.0001048039976117
R24F_full_lr0.1_V06,full,prodigy,0.1,V06,1.0,1e-06,1.01,none,Growth_rate cap stretto (1.01),OK,10,0.8959252301682817,10,0.8959252301682817,0.7467437105927062,0.05982993574456328,0.0,1e-07,0.0001043563765359,0.0001043563765359
R24F_full_lr0.1_V07,full,prodigy,0.1,V07,1.0,0.0001,inf,none,d0 preheat alto (canonical kohya),OK,10,0.2708021396810704,10,0.2708021396810704,0.2594967610103653,0.06864944428918837,0.0,1e-05,0.0004930064106787,0.0004930064106787
R24F_full_lr0.1_V08,full,prodigy,0.1,V08,1.0,1e-06,inf,cosine_no_restart,Cosine sched (decay finale),OK,10,1.1084739418422922,9,1.1084739418422922,0.9121665265014832,0.05981527593066083,0.0,1e-07,1.9847346485052346e-07,7.915660822427173e-09
R24F_full_lr0.1_V09,full,prodigy,0.1,V09,0.1,1e-06,1.02,cosine_no_restart,Combo brake + cap + cosine,OK,10,1.1086101677823574,7,1.1086200171328606,0.9122691956606316,0.05981494013537112,0.0,1e-07,1e-07,2.448149713500471e-09
R24F_full_lr0.1_V10,full,prodigy,0.1,V10,2.0,1e-06,inf,none,d_coef=2 canonical kohya,OK,10,0.2680828343839087,9,0.2729957739406444,0.2558499197772843,0.06939883267388063,0.0,1e-07,0.0009842178156492,0.0009842178156492
R24F_highway_adamw_lr1e-3,highway,adamw,0.001,ADAMW_REF,,,,plateau,AdamW baseline lr=1e-3 (riferimento per valore aggiunto Prodigy),OK,10,0.1855422940422245,8,0.1954032098279988,0.1804915087178666,0.10726131545181601,0.1,,,
R24F_mixed_adamw_lr1e-3,mixed,adamw,0.001,ADAMW_REF,,,,plateau,AdamW baseline lr=1e-3 (riferimento per valore aggiunto Prodigy),OK,10,0.2299057749357629,10,0.2299057749357629,0.2190628877662598,0.07817816082586314,0.0,,,
R24F_full_adamw_lr1e-3,full,adamw,0.001,ADAMW_REF,,,,plateau,AdamW baseline lr=1e-3 (riferimento per valore aggiunto Prodigy),OK,10,0.2529959994110655,9,0.2759708145514448,0.2421834253250284,0.0816874184348481,0.0,,,
