key,sweep,arm,family,optimizer,scheduler,lr,spectral_lambda,spectral_target,rank,decode_on,seed,cache,common_val,budget_ep,ran_ep,aborted,has_diag,val_data_min,val_data_final3,nrmse_mean,nrmse_v0,nrmse_T,nrmse_s0,nrmse_a,nrmse_b,time_total_s,final_spectral_radius,final_spike_rate
BigSweep/ADAM_lr1e3_t10,BigSweep,ADAM_lr1e3_t10,AdamW_decodeOFF,adamw,cosine_no_restart,0.001,1.0,1.0,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2318,0.2499,0.275,0.197,0.248,0.326,0.263,0.342,3713.5,1.033,0.155
BigSweep/ADAM_lr1e3_t14,BigSweep,ADAM_lr1e3_t14,AdamW_decodeOFF,adamw,cosine_no_restart,0.001,1.0,1.4,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2331,0.2406,0.265,0.32,0.289,0.198,0.261,0.256,3728.2,1.438,0.172
Spectral/SPEC_l10_t12,Spectral,SPEC_l10_t12,Spectral_sweep,adamw,cosine_no_restart,0.002,1.0,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,25,25,False,True,0.2332,0.2388,0.276,0.281,0.2,0.351,0.254,0.292,1882.9,1.261,0.164
BigSweep/ADAM_lr1e3_t08,BigSweep,ADAM_lr1e3_t08,AdamW_decodeOFF,adamw,cosine_no_restart,0.001,1.0,0.8,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2336,0.2364,0.228,0.209,0.227,0.19,0.261,0.253,3717.0,0.821,0.175
Spectral/SPEC_l30_t15,Spectral,SPEC_l30_t15,Spectral_sweep,adamw,cosine_no_restart,0.002,3.0,1.5,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,25,25,False,True,0.2346,0.2394,0.239,0.212,0.283,0.192,0.25,0.259,1897.9,1.56,0.159
Spectral/SPEC_l100_t15,Spectral,SPEC_l100_t15,Spectral_sweep,adamw,cosine_no_restart,0.002,10.0,1.5,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,25,25,False,True,0.2353,0.2387,0.262,0.254,0.277,0.252,0.247,0.283,1876.5,1.509,0.149
BigSweep/ADAM_lr3e3_t14,BigSweep,ADAM_lr3e3_t14,AdamW_decodeOFF,adamw,cosine_no_restart,0.003,1.0,1.4,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,15,True,True,0.2366,0.3066,0.335,0.383,0.326,0.239,0.267,0.462,1142.8,1.747,0.164
Spectral/SPEC_l30_t12,Spectral,SPEC_l30_t12,Spectral_sweep,adamw,cosine_no_restart,0.002,3.0,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,25,25,False,True,0.2373,0.2512,0.272,0.259,0.247,0.267,0.235,0.353,1880.6,1.208,0.158
Spectral/SPEC_l100_t12,Spectral,SPEC_l100_t12,Spectral_sweep,adamw,cosine_no_restart,0.002,10.0,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,25,25,False,True,0.2384,0.2474,0.257,0.226,0.228,0.285,0.235,0.313,1879.8,1.205,0.173
BigSweep/ADAM_lr5e4_t10,BigSweep,ADAM_lr5e4_t10,AdamW_decodeOFF,adamw,cosine_no_restart,0.0005,1.0,1.0,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2421,0.2425,0.24,0.195,0.277,0.159,0.256,0.311,3740.1,1.047,0.16
