arm,scenario,n,data,phys,nrmse_v0,nrmse_T,nrmse_s0,nrmse_a,nrmse_b
A_lr7e3_t06_r16,freeflow,50,0.1601,0.0291,0.108,0.47,0.107,0.248,0.41
A_lr7e3_t06_r16,highway,56,0.1743,0.0322,0.14,0.115,0.051,0.29,0.062
A_lr7e3_t06_r16,launch,102,0.2245,0.0525,0.165,0.266,0.088,0.165,0.221
A_lr7e3_t06_r16,mixed,19,0.2453,0.0634,0.284,0.108,0.058,0.179,0.075
A_lr7e3_t06_r16,truck,26,0.1531,0.0247,0.303,0.108,0.134,0.05,0.233
A_lr7e3_t06_r16,urban,47,0.2576,0.069,0.292,0.109,0.059,0.299,0.202
BPTT_REF,freeflow,50,1.4325,2.2064,0.237,0.24,0.149,0.215,0.151
BPTT_REF,highway,56,1.3272,1.8605,0.173,0.308,0.132,0.167,0.236
BPTT_REF,launch,102,0.3731,0.1425,0.098,0.196,0.156,0.189,0.182
BPTT_REF,mixed,19,0.9137,0.9039,0.252,0.231,0.155,0.161,0.219
BPTT_REF,truck,26,0.8069,0.6972,0.144,0.247,0.021,0.424,0.433
BPTT_REF,urban,47,1.0818,1.2125,0.338,0.202,0.285,0.035,0.023
DS_narrow,freeflow,50,0.1873,0.0371,0.099,0.333,0.014,0.297,0.415
DS_narrow,highway,56,0.1663,0.0294,0.16,0.106,0.019,0.322,0.132
DS_narrow,launch,102,0.2436,0.0621,0.16,0.223,0.076,0.19,0.251
DS_narrow,mixed,19,0.2253,0.0538,0.313,0.109,0.06,0.214,0.118
DS_narrow,truck,26,0.1362,0.0192,0.331,0.11,0.149,0.031,0.319
DS_narrow,urban,47,0.2535,0.0669,0.325,0.108,0.057,0.32,0.16
DS_wide,freeflow,50,0.1987,0.0408,0.32,0.56,0.337,0.304,0.55
DS_wide,highway,56,0.1911,0.0375,0.271,0.134,0.332,0.163,0.521
DS_wide,launch,102,0.4034,0.1644,0.379,0.401,0.318,0.276,0.367
DS_wide,mixed,19,0.275,0.0807,0.534,0.168,0.32,0.203,0.309
DS_wide,truck,26,0.1825,0.0339,0.51,0.124,0.453,0.119,0.625
DS_wide,urban,47,0.2831,0.0846,0.557,0.14,0.191,0.382,0.164
DS_widebig,freeflow,50,0.1759,0.0319,0.301,0.622,0.267,0.311,0.556
DS_widebig,highway,56,0.182,0.0344,0.193,0.155,0.298,0.182,0.449
DS_widebig,launch,102,0.4103,0.17,0.298,0.441,0.26,0.279,0.348
DS_widebig,mixed,19,0.266,0.0761,0.338,0.177,0.271,0.222,0.24
DS_widebig,truck,26,0.1446,0.0213,0.375,0.141,0.408,0.105,0.536
DS_widebig,urban,47,0.2678,0.0764,0.288,0.126,0.143,0.409,0.197
EVP_ADAMW,freeflow,50,0.2482,0.0638,0.314,0.165,0.116,0.318,0.259
EVP_ADAMW,highway,56,0.2104,0.0473,0.13,0.121,0.243,0.273,0.084
EVP_ADAMW,launch,102,0.3118,0.1014,0.354,0.171,0.123,0.222,0.132
EVP_ADAMW,mixed,19,0.2862,0.0842,0.372,0.129,0.176,0.203,0.076
EVP_ADAMW,truck,26,0.1713,0.0305,0.308,0.126,0.321,0.057,0.215
EVP_ADAMW,urban,47,0.3174,0.1055,0.414,0.127,0.075,0.324,0.216
EVP_ADAMW_LSR,freeflow,50,0.2122,0.046,0.336,0.413,0.266,0.336,0.526
EVP_ADAMW_LSR,highway,56,0.1955,0.0405,0.271,0.126,0.152,0.285,0.228
EVP_ADAMW_LSR,launch,102,0.3309,0.1133,0.412,0.284,0.183,0.245,0.298
EVP_ADAMW_LSR,mixed,19,0.297,0.0918,0.527,0.142,0.17,0.21,0.113
EVP_ADAMW_LSR,truck,26,0.1696,0.0292,0.511,0.132,0.27,0.056,0.32
EVP_ADAMW_LSR,urban,47,0.3237,0.1101,0.531,0.131,0.075,0.352,0.162
EVP_PE_PROBE_LSR,freeflow,50,0.2545,0.0662,0.346,0.332,0.363,0.343,0.244
EVP_PE_PROBE_LSR,highway,56,0.2452,0.0617,0.333,0.259,0.356,0.306,0.353
EVP_PE_PROBE_LSR,launch,102,0.4859,0.2455,0.496,0.258,0.336,0.261,0.236
EVP_PE_PROBE_LSR,mixed,19,0.3639,0.1366,0.691,0.211,0.332,0.217,0.284
EVP_PE_PROBE_LSR,truck,26,0.3063,0.0947,0.618,0.257,0.475,0.04,0.133
EVP_PE_PROBE_LSR,urban,47,0.3738,0.1426,0.754,0.178,0.193,0.332,0.431
EVP_PRODIGYEVENT,freeflow,50,0.2538,0.0658,0.346,0.348,0.367,0.342,0.203
EVP_PRODIGYEVENT,highway,56,0.2804,0.0805,0.335,0.314,0.364,0.296,0.324
EVP_PRODIGYEVENT,launch,102,0.3846,0.1534,0.492,0.3,0.349,0.262,0.188
EVP_PRODIGYEVENT,mixed,19,0.4064,0.1692,0.676,0.26,0.344,0.224,0.23
EVP_PRODIGYEVENT,truck,26,0.3677,0.1358,0.619,0.317,0.485,0.038,0.089
EVP_PRODIGYEVENT,urban,47,0.4036,0.1652,0.718,0.207,0.204,0.351,0.363
EVP_PRODIGYEVENT_PROBE,freeflow,50,0.247,0.0621,0.345,0.327,0.363,0.355,0.281
EVP_PRODIGYEVENT_PROBE,highway,56,0.2229,0.0511,0.322,0.229,0.35,0.316,0.33
EVP_PRODIGYEVENT_PROBE,launch,102,0.4678,0.2272,0.479,0.233,0.328,0.275,0.216
EVP_PRODIGYEVENT_PROBE,mixed,19,0.309,0.0991,0.652,0.173,0.314,0.231,0.225
EVP_PRODIGYEVENT_PROBE,truck,26,0.2452,0.0609,0.596,0.21,0.466,0.039,0.093
EVP_PRODIGYEVENT_PROBE,urban,47,0.3504,0.1282,0.7,0.153,0.164,0.343,0.345
P2_lr2e3_t05_r16,freeflow,50,0.1882,0.0386,0.113,0.337,0.203,0.26,0.354
P2_lr2e3_t05_r16,highway,56,0.1745,0.0322,0.087,0.109,0.152,0.26,0.199
P2_lr2e3_t05_r16,launch,102,0.2382,0.0592,0.143,0.207,0.156,0.189,0.194
P2_lr2e3_t05_r16,mixed,19,0.2476,0.0642,0.298,0.108,0.131,0.182,0.103
P2_lr2e3_t05_r16,truck,26,0.1589,0.0265,0.276,0.105,0.264,0.049,0.34
P2_lr2e3_t05_r16,urban,47,0.2679,0.0743,0.327,0.112,0.02,0.313,0.2
P2_lr2e3_t05_r8,freeflow,50,0.1807,0.0353,0.116,0.335,0.041,0.29,0.392
P2_lr2e3_t05_r8,highway,56,0.1749,0.0323,0.081,0.109,0.102,0.261,0.185
P2_lr2e3_t05_r8,launch,102,0.2417,0.0604,0.153,0.211,0.123,0.201,0.233
P2_lr2e3_t05_r8,mixed,19,0.2445,0.0627,0.31,0.108,0.108,0.181,0.113
P2_lr2e3_t05_r8,truck,26,0.1623,0.0274,0.27,0.106,0.229,0.061,0.337
P2_lr2e3_t05_r8,urban,47,0.2683,0.0749,0.357,0.112,0.029,0.304,0.166
P2_lr2e3_t06_r16,freeflow,50,0.1728,0.0329,0.117,0.357,0.158,0.27,0.371
P2_lr2e3_t06_r16,highway,56,0.1764,0.0332,0.115,0.113,0.116,0.284,0.198
P2_lr2e3_t06_r16,launch,102,0.2436,0.062,0.162,0.228,0.133,0.181,0.214
